sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used
4.4911e-05,145.483,58200.0,3.021427131457181,Otto Matic,0.56899,,2646.0172022308248,,,,,89 Julia,,4.896e-06,J2000,,1.265,-38185939626.666664,0.189,428.4800617,N,N,6.6282e-09,,2931438093.020529,2000089.0,2.1444e-05,3.8083e-06,1487.89008666472,a0000089,,55324.0,,132.32086011154124,4.07362104494105,7.9617e-10,20180323.0,JPL 102,5.5954e-09,1.8554e-05,,4.7455e-08,0.0,11.387,,0.15,2018-01-26,6.6,45434323847.371994,,S,2458200.5,2002.0,1.10101,,K,0.1845784905044167,0.35215645333333334,20171006.2411813,89.0,MBA,0.442,2.550634808648769,3.362,311.5550310387782,40.58980920503123,Julia,16.12652607940052,2458032.7411812893,,0.859,K,2.079842485840357,45.45242961759699,2.45975,0.2419533561158286,1.087e-05,1866-08-07,,1.2267e-07,
6.7111e-05,115.974,58200.0,3.672501574876527,Otto Matic,0.43256,,2633.7084539568223,,,,,90 Antiope,,1.0336e-05,J2000,,1.107,-5970870600000000.0,0.058,628.3616654,N,N,1.2391e-08,,459541058428443.8,2000090.0,0.00010298,4.0388e-06,2042.328214611972,a0000090,,55299.0,,131.70542269784113,5.59158990995749,8.9212e-10,20180323.0,JPL 95,1.0629e-08,0.00010229,,3.3793e-08,0.0,16.509,,,2018-02-25,8.27,7155708291944999.0,,C,2458200.5,3600.0,1.61462,,C,0.1657638500318143,0.0553859,20170123.3391974,90.0,MBA,0.317,3.150296326975916,3.185,69.9712937784569,74.67844190225962,Antiope,2.207087836117567,2457776.839197444,,0.688,C,2.628091079075304,244.8854309834126,1.615,0.176269415182318,1.1793e-05,1866-10-01,,1.088e-07,
7.301e-05,103.402,58200.0,2.864390204517894,Otto Matic,0.53968,,2644.2584386206627,,,,,91 Aegina,,5.8231e-06,J2000,,0.483,-7.183467074665272e+17,0.048,518.0047285,N,N,7.3049e-09,,5.550817740124085e+16,2000091.0,0.00012098,3.2944e-06,1522.228881114006,a0000091,,55261.0,,132.23292193103313,4.1676355403532,9.0468e-10,20180323.0,JPL 112,6.6044e-09,0.00011963,,4.0767e-08,0.0,6.025,,,2018-02-27,8.84,8.60892796958222e+17,,CP,2458200.5,2159.0,1.33105,,Ch,0.1060578085058412,,20170515.4298978,91.0,MBA,0.317,2.589729200851952,3.411,10.6565372364854,73.68486972730844,Aegina,2.106395157667882,2457888.9298977777,,0.724,Ch,2.315068197186011,72.78327867173269,2.32139,0.2364953158269752,1.7357e-05,1866-11-10,,1.0615e-07,
0.00013844,126.42,58200.0,3.519053416801917,Otto Matic,0.51081,,2632.445916852526,,,,,92 Undina,,1.1643e-05,J2000,,3.4,63435465666.66667,0.2509,724.1869945,N,N,1.3144e-08,,312942155.8408224,2000092.0,3.7097e-05,4.863e-06,2078.2455578282,a0000092,,53648.0,,131.6320464263063,5.68992623635373,9.7047e-10,20180323.0,JPL 91,1.1904e-08,2.891e-05,,4.3209e-08,0.0,15.941,,,2018-01-25,6.61,4875291840.0,,X,2458200.5,1857.0,1.86085,,Xc,0.1041470161860116,0.29516903333333333,20160624.6933148,92.0,MBA,0.275,3.187123965572601,3.166,101.5750455162612,110.2229742890441,Undina,9.93067990392349,2457564.193314759,,0.725,Xc,2.855194514343286,239.2831468416143,1.84664,0.173223033555383,2.4116e-05,1871-03-09,,1.4021e-07,
7.2128e-05,154.155,58200.0,3.138163665938523,Otto Matic,0.49952,,2640.89261367671,,,,,93 Minerva,,8.4438e-06,J2000,,1.298,-25178370000.000004,0.056,535.147667,N,N,1.0575e-08,,1943109684.3076751,2000093.0,2.9617e-05,4.25e-06,1670.417945573078,a0000093,,53804.0,,132.0646306838355,4.57335508712684,1.0894e-09,20180323.0,JPL 103,9.2848e-09,2.5103e-05,,3.8012e-08,0.0,5.982,,,2017-06-18,7.9,30174673520.249996,,CU,2458200.5,1836.0,1.3751,,C,0.1390018854686866,0.233555,20171029.741247,93.0,MBA,0.315,2.755187419770779,3.314,4.052149706442875,31.08991448799221,Minerva,8.55853431273357,2458056.24124698,,0.685,C,2.372211173603035,274.6753927409471,2.0639,0.2155149260423523,1.5594e-05,1870-02-25,,1.0727e-07,
0.00013624,204.89,58200.0,3.451709693545217,Otto Matic,0.46299,,2632.890602493377,,,,,94 Aurora,,1.4375e-05,J2000,,3.6,-50719020775.200005,0.0395,732.3595645,N,N,1.6154e-08,,3902317823.9971986,2000094.0,3.602e-05,3.743e-06,2047.711107527214,a0000094,,52938.0,,131.66453012466886,5.60632746756253,1.2341e-09,20180323.0,JPL 88,1.4769e-08,2.7578e-05,,3.1464e-08,0.0,7.22,,,2017-07-04,7.57,60783517485.77993,,CP,2458200.5,2292.0,1.88185,,C,0.09375677473221557,0.4704705228,20200212.6947847,94.0,MBA,0.301,3.155829315334114,3.185,2.573656577802439,238.3958725518599,Aurora,7.971371449423313,2458892.194784713,,0.663,C,2.859948937123011,60.60388182659374,1.87726,0.1758060493380488,2.3629e-05,1872-07-26,,1.0228e-07,
8.919e-05,147.969,58200.0,3.53375919449319,Otto Matic,0.48682,,2635.010502054082,,,,,95 Arethusa,,1.0391e-05,J2000,,5.148,-2.1050358910118707e+18,0.058,627.3070147,N,N,1.2484e-08,,1.62091715463541e+17,2000095.0,2.6964e-05,4.6544e-06,1960.868086708841,a0000095,,53082.0,,131.7705251027041,5.36856423465802,9.7287e-10,20180323.0,JPL 31,1.0831e-08,2.1807e-05,,4.1889e-08,0.0,8.705,,,2018-01-23,8.0,2.52275150296432e+18,,C,2458200.5,2032.0,1.61191,,Ch,0.1525779773676881,,20180320.0979166,95.0,MBA,0.374,3.065961057631655,3.176,243.0270288130044,0.5327997410120696,Arethusa,12.99502783981022,2458197.597916642,,0.711,Ch,2.598162920770119,154.0435593304902,1.89017,0.1835921561680526,1.6376e-05,1872-09-23,,1.3069e-07,
0.00010553,177.774,58200.0,3.479648327049857,Otto Matic,0.45718,,2635.109180675895,,,,,96 Aegle,,1.5508e-05,J2000,,1.543,-31031633333.333332,0.048,639.8810974,N,N,1.8468e-08,,3981.2002040825946,2000096.0,2.1131e-05,5.5319e-06,1947.870194760203,a0000096,,54760.0,,1.2392e-07,5.33297794595538,1.4714e-09,20180323.0,JPL 89,1.6201e-08,1.1865e-05,,4.5299e-08,0.0,13.82,,,2018-01-24,7.67,61959.99999999999,,T,2458200.5,1906.0,1.64422,,T,0.1399722956263812,0.3445492333333333,20171012.0548222,96.0,MBA,0.337,3.052397273512593,3.163,321.6009359298622,29.93026134463354,Aegle,15.96339511218224,2458038.554822237,,0.775,T,2.625146219975328,208.9747956266782,1.58534,0.1848172434530827,1.9556e-05,1868-02-20,,1.4536e-07,
4.3426e-05,100.717,58200.0,3.354122378275772,Otto Matic,0.49382,,2644.528972048947,,,,,97 Klotho,,5.8586e-06,J2000,,0.641,19072200000.0,0.128,403.4058386,N,N,8.2269e-09,,85950412.00699484,2000097.0,2.082e-05,3.8505e-06,1592.371568646636,a0000097,,53760.0,,132.22911439060732,4.35967575262597,8.3178e-10,20180323.0,JPL 86,6.5457e-09,1.948e-05,,3.4585e-08,0.0,35.15,,,2017-09-30,7.63,1332894080.0,,M,2458200.5,2315.0,1.03658,,,0.2568445866379249,0.08875090000000001,20191129.9007366,97.0,MBA,0.226,2.668685065707361,3.305,159.6317349559387,220.5323848054958,Klotho,11.77659391729484,2458817.4007366183,,0.716,M,1.983247753138951,268.6905536629666,2.12285,0.2260778872772551,9.5728e-06,1870-07-23,,9.1509e-08,
6.0932e-05,132.788,58200.0,3.189004787738569,Otto Matic,0.48617,,2642.9056374289453,,,,,98 Ianthe,,8.2978e-06,J2000,,1.132,-8251311540.000001,0.029,468.4789543,N,N,1.0955e-08,,637270192.2824887,2000098.0,2.1068e-05,3.2435e-06,1610.293736145361,a0000098,,53824.0,,132.16505921460595,4.40874397301947,1.152e-09,20180323.0,JPL 69,9.2365e-09,1.6588e-05,,3.3681e-08,0.0,16.479,,,2018-02-27,8.84,9888671579.350498,,CG,2458200.5,1855.0,1.20379,,Ch,0.1860892965605951,0.07653931,20171012.556388,98.0,MBA,0.375,2.688671752612556,3.296,353.9942270442047,36.09260783155686,Ianthe,15.57510865034257,2458039.0563880214,,0.749,Ch,2.188338717486543,158.8049137693959,1.8126,0.2235616968005786,1.3702e-05,1870-10-17,,9.0291e-08,
