sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used
1.302e-08,939.4,58200.0,2.976054008407594,Davide Farnocchia,0.36954,,2640.122109260267,,,,,1 Ceres,,2.3698e-08,J2000,,0.2,-6778017204000.001,0.09,620.1540701,N,N,2.7966e-11,,522932512176.8197,2000001.0,1.1437e-08,1.9258e-09,1681.214216917383,a0000001,,24437.0,,132.02610546301335,4.60291366712494,3.0183e-12,20180323.0,JPL 34,2.6002e-11,1.1728e-08,,1.1644e-11,0.0,9.07417,,0.12,2017-03-05,3.34,8123022111651.299,,G,2458200.5,5993.0,1.59353,964.4 x 964.2 x 891.8,C,0.07553461024389638,62.873006000000004,20180428.2840531,1.0,MBA,0.426,2.767046248500289,3.31,80.30991865594387,352.2304611765882,Ceres,10.5935097971363,2458236.7840531357,,0.713,C,2.558038488592984,73.11534200131032,2.10258,0.2141309515334005,2.6858e-09,1950-04-09,405.0,5.622e-11,0.0
4.2841e-05,545.0,58200.0,3.411903965086236,Otto Matic,0.35954,,2641.82024915583,,,,,2 Pallas,,3.9317e-06,J2000,,18.0,-1050220927058.8237,0.101,479.7259673,N,N,5.3029e-09,,114543888042.45593,2000002.0,9.5268e-06,3.7277e-06,1686.429871227692,a0000002,,71847.0,,132.1110124577915,4.61719335038382,4.9767e-10,20180323.0,JPL 33,4.3096e-09,6.4667e-06,,3.3819e-08,0.0,7.8132,,0.11,2018-01-23,4.13,1778134717223.647,,B,2458200.5,8423.0,1.23269,582x556x500,B,0.2305054995905846,13.80133411764706,20180721.2837304,2.0,MBA,0.284,2.772766124346009,3.043,173.0838008845752,334.3231878791698,Pallas,34.83687567654144,2458320.7837304403,,0.635,B,2.133628283605784,310.0063356539786,1.85627,0.2134687045942362,9.1161e-06,1821-05-09,,9.35e-08,
3.8028e-05,246.596,58200.0,3.354447013302738,Otto Matic,0.31375,,2644.526178582113,,,,,3 Juno,,3.2932e-06,J2000,,10.594,-198520833333.33334,0.214,402.2811373,N,N,4.6245e-09,,1.7464412473029064e-45,2000003.0,1.9099e-05,3.5502e-06,1592.520405274228,a0000003,,72161.0,,5.416666666666668e-56,4.36008324510398,4.6747e-10,20180323.0,JPL 106,3.6794e-09,1.791e-05,,3.2736e-08,0.0,7.21,,0.32,2017-11-26,5.33,2.7083333333333337e-44,,S,2458200.5,7007.0,1.03369,,Sk,0.2568879142765101,1.8072708333333334,20181123.6019532,3.0,MBA,0.433,2.668851355161312,3.299,169.8587236229739,304.4800186913468,Juno,12.98972370220706,2458446.101953151,,0.824,Sk,1.983255697019885,248.1819160260522,2.18704,0.2260567580846846,8.5385e-06,1820-05-02,,8.7395e-08,
4.1815e-06,525.4,58200.0,2.572491540831787,Davide Farnocchia,0.39592,,2649.7816066543596,,,,,4 Vesta,,1.3143e-06,J2000,,0.2,-1939090416666.6665,0.4228,443.5331573,N,N,1.6999e-09,,1.7092601242794116e-44,2000004.0,1.8228e-07,2.2072e-07,1326.010050563823,a0000004,,24288.0,,5.2908333333333334e-55,3.63041766068124,2.691e-10,20180323.0,JPL 34,1.5609e-09,3.9433e-07,,2.317e-10,0.0,5.34212766,,0.32,2017-03-23,3.2,2.6454166666666668e-43,,V,2458200.5,9325.0,1.13969,572.6 x 557.2 x 446.4,V,0.08906808017015858,17.652865416666664,20180509.1993625,4.0,MBA,0.492,2.362103515539501,3.535,103.8151325904157,347.1857905761457,Vesta,7.140702268551379,2458247.6993624615,,0.782,V,2.151715490247215,150.7615368333637,2.46768,0.2714911548724137,1.1226e-06,1950-09-23,2977.0,1.9671e-09,0.0
3.8225e-05,106.699,58200.0,3.065945180411291,Otto Matic,0.49459,,2645.576599542029,,,,,5 Astraea,,4.077e-06,J2000,,3.14,-21147050000.0,0.274,425.7091713,N,N,5.5263e-09,,1.8611019001118255e-46,2000005.0,3.0941e-05,2.8218e-06,1507.930360507555,a0000005,,62779.0,,5.770000000000001e-57,4.128488324456,6.4548e-10,20180323.0,JPL 105,4.6387e-09,3.0009e-05,,2.4447e-08,0.0,16.806,,,2017-11-02,6.85,2.8850000000000007e-45,,S,2458200.5,2580.0,1.09389,,S,0.191358532797804,0.19251605000000002,20200317.352522,5.0,MBA,0.411,2.573486566811404,3.396,141.5836517601923,186.8309235260118,Astraea,5.367745027364807,2458925.8525219895,,0.826,S,2.081027953211516,358.746212934248,1.96226,0.238737815371545,8.9522e-06,1845-12-15,,6.2461e-08,
2.9539e-05,185.18,58200.0,2.917172498638935,Otto Matic,0.39879,,2649.326599478002,,,,,6 Hebe,,2.5498e-06,J2000,,2.9,-103792800000.00002,0.2679,379.01927889,N,N,3.5948e-09,,9.147506941362163e-46,2000006.0,1.3744e-05,2.2913e-06,1379.454768271376,a0000006,,61723.0,,2.8320000000000007e-56,3.77674132312492,4.8239e-10,20180323.0,JPL 84,2.9885e-09,1.1815e-05,,2.0622e-08,0.0,7.2745,,0.24,2017-09-02,5.71,1.4160000000000004e-44,,S,2458200.5,5962.0,0.973917,,S,0.2028812409550595,0.9448968000000001,20180531.8083015,6.0,MBA,0.399,2.425154204186249,3.439,138.6476403257976,341.7819408740293,Hebe,14.73710014520843,2458270.308301472,,0.822,S,1.933135909733563,239.8494792170151,2.63314,0.2609726743350372,7.6983e-06,1848-09-05,,5.0282e-08,
2.6723e-05,199.83,58200.0,2.937650272823846,Otto Matic,0.35102,,2650.763148571014,,,,,7 Iris,,1.9187e-06,J2000,,10.0,-102148785714.28572,0.2766,328.85721174,N,N,2.792e-09,,9.007497547045483e-46,2000007.0,2.7433e-05,2.6196e-06,1345.863642432111,a0000007,,61615.0,,2.787142857142858e-56,3.68477383280523,3.8133e-10,20180323.0,JPL 107,2.2673e-09,2.6754e-05,,2.0076e-08,0.0,7.139,,,2017-05-04,5.51,1.393571428571429e-44,,S,2458200.5,5033.0,0.845022,,S,0.2313976930137263,0.9299302142857144,20171118.3058905,7.0,MBA,0.484,2.385622686716451,3.492,259.5623689715001,33.35395800258632,Iris,5.523489793041096,2458075.8058905364,,0.855,S,1.833595100609057,145.301473271767,2.46943,0.2674862360866244,7.1789e-06,1848-08-23,1.0,4.7875e-08,0.0
4.0924e-05,147.491,58200.0,2.546571010111474,Otto Matic,0.51249,,2654.764719518791,,,,,8 Flora,,2.0864e-06,J2000,,1.025,-56212955555.555565,0.226,339.31537715,N,N,2.9696e-09,,0.0,2000008.0,2.7848e-05,3.3397e-06,1192.778212874922,a0000008,,62180.0,,0.0,3.26564876899363,5.2793e-10,20180323.0,JPL 113,2.5668e-09,2.5536e-05,,2.4677e-08,0.0,12.865,,0.28,2018-01-23,6.49,0.0,,S,2458200.5,2602.0,0.871895,,,0.1569509407427825,0.5117449555555557,20170720.3087109,8.0,MBA,0.489,2.201105440544032,3.642,110.9000205004789,74.1536549997119,Flora,5.886809545445695,2457954.8087108647,,0.885,?,1.855639870976589,285.2763639593256,2.86961,0.3018163780274804,1.2418e-05,1847-10-27,,5.4121e-08,
3.9658e-05,190.0,58200.0,2.679312983188519,Otto Matic,0.42398,,2649.3820481993293,,,,,9 Metis,,3.1482e-06,J2000,,,-63926762500.00001,0.118,431.3248944,N,N,4.1751e-09,,0.0,2000009.0,2.7124e-05,2.0507e-06,1346.890283058933,a0000009,,61305.0,,0.0,3.68758462165348,6.2475e-10,20180323.0,JPL 110,3.7193e-09,2.5171e-05,,1.8658e-08,0.0,5.079,,0.17,2017-06-05,6.28,0.0,,S,2458200.5,2570.0,1.10832,,,0.1225376597324889,0.5819690125,20160625.0231059,9.0,MBA,0.496,2.386835719905401,3.518,68.90905404068859,169.9853987751727,Metis,5.576570322221457,2457564.5231059105,,0.858,?,2.094358456622283,6.321572708763701,2.55632,0.267282349964246,1.0701e-05,1849-07-31,,4.472e-08,
6.1578e-05,407.12,58200.0,3.494037528853839,Otto Matic,0.53002,,2633.306025370345,,,,,10 Hygiea,,6.8256e-06,J2000,,6.8,-625982237000.0,0.0717,691.5434149,N,N,7.8223e-09,,48170627719.229195,2000010.0,3.0426e-05,2.196e-06,2032.5505574607,a0000010,,61545.0,,131.68530126851726,5.56482014362957,5.9478e-10,20180323.0,JPL 87,7.0302e-09,2.8739e-05,,1.64e-08,0.0,27.63,,,2017-11-26,5.43,750199859282.0249,,C,2458200.5,3254.0,1.77697,,C,0.11266803557883,5.806622166666667,20161217.5156665,10.0,MBA,0.351,3.140233580122735,3.197,283.2160932487255,81.55977200191582,Hygiea,3.831746383888417,2457740.015666531,,0.696,C,2.78642963139163,312.1066466096891,1.53543,0.177117365508366,1.1025e-05,1849-05-26,,5.1171e-08,
4.8956e-05,142.887,58200.0,2.698779496573821,Otto Matic,0.43857,,2647.540688596473,,,,,11 Parthenope,,2.4326e-06,J2000,,1.008,-41324911111.111115,0.191,464.0112827,N,N,3.1205e-09,,3.639607834488158e-46,2000011.0,2.863e-05,3.6566e-06,1402.564886361351,a0000011,,61127.0,,1.1275555555555557e-56,3.84001337812827,4.4517e-10,20180323.0,JPL 100,2.8353e-09,2.5444e-05,,3.2334e-08,0.0,13.7204,,,2018-01-26,6.55,5.637777777777779e-45,,S,2458200.5,5301.0,1.19231,,Sk,0.1005701053362493,0.3762089111111111,20160506.3250025,11.0,MBA,0.417,2.452165003836155,3.484,125.5586040010839,175.9939960639408,Parthenope,4.630016125599871,2457514.8250025287,,0.837,Sk,2.205550511098489,195.8059256411611,2.54611,0.2566726170750941,1.2611e-05,1850-09-17,,7.9833e-08,
2.7586e-05,115.087,58200.0,2.84737944933101,Otto Matic,0.52402,,2651.9220495521563,,,,,12 Victoria,,2.3659e-06,J2000,,1.199,-15945660000.000002,0.163,321.20301618,N,N,3.4483e-09,,623299429.0306938,2000012.0,2.1277e-05,2.5918e-06,1302.367693947447,a0000012,,60857.0,,132.61538047760783,3.56568841600944,5.0214e-10,20180323.0,JPL 110,2.8265e-09,2.039e-05,,2.6188e-08,0.0,8.6599,,0.22,2017-05-02,7.24,9639000000.000002,,S,2458200.5,2744.0,0.825354,,L,0.2199870507750503,0.18377442000000002,20171230.3792096,12.0,MBA,0.515,2.333942354160306,3.522,235.4112424781956,22.8380085484113,Victoria,8.373143248619023,2458117.8792096456,,0.874,L,1.820505258989603,69.60720106954143,2.42897,0.2764196330061354,7.6494e-06,1850-09-18,,6.1356e-08,
0.0001013,222.792,58200.0,2.794976957556239,Otto Matic,0.56286,,2644.3792546624095,,,,,13 Egeria,,3.7828e-06,J2000,,7.87,-85597465725.0,0.07,560.2997241,N,N,4.6622e-09,,6614600376.881891,2000013.0,2.8023e-05,4.1107e-06,1511.84827700663,a0000013,,61063.0,,132.23896273312047,4.13921499522691,5.958e-10,20180323.0,JPL 84,4.3002e-09,1.3295e-05,,3.3933e-08,0.0,7.045,,,2018-01-27,6.74,102583113299.73561,,G,2458200.5,2284.0,1.43973,,Ch,0.08418911690981087,0.7940035875,20170301.6373586,13.0,MBA,0.452,2.577942274058763,3.363,43.23609161183282,92.00033695364297,Egeria,16.54027898443919,2457814.1373585905,,0.745,Ch,2.360907590561286,80.75689103399337,2.35665,0.2381191323727132,2.4122e-05,1850-11-21,,8.7259e-08,
5.0124e-05,152.0,58200.0,3.016990664580948,Otto Matic,0.50969,,2644.964096012927,,,,,14 Irene,,3.6735e-06,J2000,,,-28157671428.571434,0.159,458.9326142,N,N,4.8648e-09,,2.4775163988882584e-46,2000014.0,2.4302e-05,3.9063e-06,1518.772845205423,a0000014,,60665.0,,7.682857142857145e-57,4.15817342972053,5.7332e-10,20180323.0,JPL 76,4.1696e-09,2.126e-05,,3.149e-08,0.0,15.028,,,2017-06-23,6.3,3.8414285714285724e-45,,S,2458200.5,2574.0,1.17926,,S,0.1667497106714268,0.2563385285714286,20170531.5886606,14.0,MBA,0.388,2.585807938914994,3.385,86.12323578336343,70.0223753177704,Irene,9.121419458142887,2457905.0886605848,,0.833,S,2.15462521324904,97.92282574685748,2.00871,0.2370334715533499,1.1895e-05,1851-05-20,,8.2269e-08,
3.3688e-05,231.689,58200.0,3.138934817629211,Otto Matic,0.54993,,2643.8428652266434,,,,,15 Eunomia,,3.0911e-06,J2000,,2.234,-216798846153.84613,0.248,465.3033271,N,N,4.1139e-09,,1.9067450426861906e-45,2000015.0,1.5761e-05,2.5553e-06,1572.391327688816,a0000015,,60503.0,,5.9153846153846165e-56,4.30497283419252,4.5009e-10,20180323.0,JPL 72,3.4682e-09,1.4106e-05,,2.7204e-08,0.0,6.083,,0.23,2017-04-27,5.28,2.9576923076923083e-44,,S,2458200.5,2424.0,1.19563,,S,0.1861533015535918,1.973668076923077,20200324.6692713,15.0,MBA,0.451,2.646314615082147,3.338,293.0425427945236,192.2549018066179,Eunomia,11.73345421813986,2458933.1692712824,,0.839,S,2.153694412535083,98.00354084333473,2.41898,0.2289506394881655,7.5231e-06,1851-09-02,,7.1454e-08,
8.3368e-05,226 ,58200.0,3.319784982525237,Otto Matic,0.52931,,2637.3582890009375,,,,,16 Psyche,,5.9569e-06,J2000,,23.0,395975200000.00006,0.1203,598.309958,N,N,7.2051e-09,,1779655583.2865043,2000016.0,6.9871e-05,3.9159e-06,1829.776053504787,a0000016,,60261.0,,131.88791445004688,5.00965380836355,6.4051e-10,20180323.0,JPL 86,6.3543e-09,6.8087e-05,,3.029e-08,0.0,4.196,,0.2,2017-03-30,5.9,27673419946.666664,,M,2458200.5,2931.0,1.5374,279  x 232  x 189,X,0.1339057236629535,1.8426377333333332,20200420.9422629,16.0,MBA,0.299,2.927743385756136,3.262,150.1905340784654,210.4848644608161,Psyche,3.095086258671019,2458960.442262906,,0.729,X,2.535701788987035,227.8987616951324,2.13746,0.1967453882186563,1.6232e-05,1852-04-03,,8.7372e-08,
3.9223e-05,84.899,58200.0,2.798888131557868,Otto Matic,0.51688,,2647.3467057655685,,,,,17 Thetis,,3.2259e-06,J2000,,2.027,-9565650000.0,0.193,440.2368874,N,N,4.2432e-09,,8.424135192969028e-47,2000017.0,2.8209e-05,2.9867e-06,1418.575719624321,a0000017,,60581.0,,2.6100000000000005e-57,3.88384865057993,5.771e-10,20180323.0,JPL 102,3.7458e-09,2.6725e-05,,2.8052e-08,0.0,12.27048,,,2018-02-27,7.76,1.3050000000000003e-45,,S,2458200.5,3396.0,1.13122,,Sl,0.1327901838639687,0.08708265,20191206.0541679,17.0,MBA,0.438,2.470791300477912,3.465,125.553302139008,201.8840127163026,Thetis,5.590660247355741,2458823.554167903,,0.829,Sl,2.142694469397956,136.1464277773492,2.27382,0.2537756673964066,9.8203e-06,1852-04-17,,6.9017e-08,
3.3983e-05,139.594,58200.0,2.797253875240023,Otto Matic,0.4085,,2652.9235432307237,,,,,18 Melpomene,,2.0938e-06,J2000,,2.452,-25749242857.142857,0.181,315.08137208,N,N,3.0738e-09,,2.2724232135859986e-46,2000018.0,2.2319e-05,3.8782e-06,1270.264752601983,a0000018,,60507.0,,7.025714285714286e-57,3.4777953527775,4.6714e-10,20180323.0,JPL 103,2.5224e-09,2.055e-05,,3.1877e-08,0.0,11.57,,0.25,2018-02-26,6.51,3.512857142857143e-45,,S,2458200.5,4924.0,0.809624,,S,0.2186191647231695,0.23441295714285715,20160925.4740426,18.0,MBA,0.425,2.295429085817363,3.543,150.4647192480214,154.0382383111998,Melpomene,10.13234975087889,2457656.9740425567,,0.854,S,1.793604296394702,227.8395335628968,2.68981,0.2834054863465145,9.7603e-06,1852-06-29,,7.2999e-08,
4.1496e-05,200.0,58200.0,2.828948551497044,Otto Matic,0.50262,,2648.3459102914326,,,,,19 Fortuna,,3.0489e-06,J2000,,,-61659030533.33333,0.037,412.0998964,N,N,4.1265e-09,,4771889346.179546,2000019.0,0.00010761,2.6795e-06,1393.471488200836,a0000019,,60399.0,,132.43729551457164,3.8151170108168,5.6526e-10,20180323.0,JPL 123,3.5614e-09,0.00010719,,2.4122e-08,0.0,7.4432,,0.1,2018-01-26,7.13,73894422709.58998,,G,2458200.5,2889.0,1.05892,,Ch,0.1586669230093239,0.5719502444444444,20170324.1096085,19.0,MBA,0.324,2.441554596336983,3.483,211.1447282560406,94.01020548927701,Fortuna,1.573913234806527,2457836.609608474,,0.719,Ch,2.054160641176922,182.0589992982983,2.59528,0.2583475894901946,1.0816e-05,1852-09-14,,5.9357e-08,
3.4682e-05,135.68,58200.0,2.751438547130068,Otto Matic,0.5273,,2648.9994706086595,,,,,20 Massalia,,3.35e-06,J2000,,3.674,-39206337500.0,0.241,421.2337163,N,N,4.5e-09,,3.4549213517713974e-46,2000020.0,0.00019263,2.4715e-06,1365.538030327443,a0000020,,59929.0,,1.0697500000000003e-56,3.73863937119081,6.4676e-10,20180323.0,JPL 101,3.9396e-09,0.00019244,,2.223e-08,0.0,8.098,,0.25,2018-01-24,6.5,5.348750000000001e-45,,S,2458200.5,2357.0,1.08239,,S,0.1422370301352308,0.35692208750000004,20180203.8018728,20.0,MBA,0.463,2.408815748868098,3.507,206.1076500804134,12.44295317859451,Massalia,0.7086836009316148,2458153.301872847,,0.854,S,2.066192950606129,256.5782302809658,2.38249,0.263632350036912,9.153e-06,1853-12-26,,5.3784e-08,
6.1273e-05,95.76,58200.0,2.835021879127297,Otto Matic,0.35581,,2648.5634387201276,,,,,21 Lutetia,,3.793e-06,J2000,,4.1,24378000000.000004,0.2212,399.4713299,N,N,5.1641e-09,,110029032.3666394,2000021.0,6.6129e-05,3.9101e-06,1388.190406845036,a0000021,,55441.0,,132.43157933440636,3.80065819806991,7.0857e-10,20180323.0,JPL 101,4.4362e-09,6.4766e-05,,3.0642e-08,0.0,8.1655,,0.11,2018-01-20,7.35,1703699200.0,,M,2458200.5,4479.0,1.02647,,Xk,0.1640974562369514,0.113441,20190626.3356079,21.0,MBA,0.189,2.435381903755513,3.484,80.87147260845849,240.6209738881787,Lutetia,3.063765360205794,2458660.835607853,,0.686,Xk,2.035741928383729,249.9179533997205,2.50381,0.2593304191016405,1.5691e-05,1866-04-06,,7.5155e-08,
8.3356e-05,167.536,58200.0,3.198580095096998,Otto Matic,0.44433,,2637.3719051680405,,,,,22 Kalliope,,6.3037e-06,J2000,,3.053,112808000000.00002,0.166,636.2579247,N,N,7.4108e-09,,507002518.1400058,2000022.0,1.9728e-05,4.2142e-06,1813.830156206818,a0000022,,59849.0,,131.8843628274687,4.96599632089478,6.8977e-10,20180323.0,JPL 90,6.7439e-09,1.2353e-05,,3.886e-08,0.0,4.1483,,0.21,2018-02-22,6.45,7883784533.333333,,M,2458200.5,2672.0,1.63491,,X,0.09890066487328497,0.5249426666666667,20160803.8274038,22.0,MBA,0.234,2.910709036167367,3.234,66.05933880719621,118.3253756642831,Kalliope,13.7171671076497,2457604.327403821,,0.715,X,2.622837977237736,355.1532512372401,2.13139,0.1984750329396066,1.6701e-05,1854-04-14,,1.1136e-07,
3.5957e-05,107.53,58200.0,3.242700066301098,Otto Matic,0.50424,,2645.088246930387,,,,,23 Thalia,,4.3983e-06,J2000,,2.2,-15173100000.000002,0.2536,406.5931409,N,N,6.1197e-09,,1.3351021821774004e-46,2000023.0,2.2019e-05,3.9168e-06,1553.716088866,a0000023,,58818.0,,4.140000000000001e-57,4.25384281688159,6.5591e-10,20180323.0,JPL 88,4.9546e-09,2.054e-05,,3.2888e-08,0.0,12.312,,,2017-11-02,6.95,2.0700000000000004e-45,,S,2458200.5,2022.0,1.04477,,S,0.2351639937865373,0.1381311,20190809.4309198,23.0,MBA,0.442,2.625319457669931,3.341,66.8478560283556,243.1220630179704,Thalia,10.11425743340258,2458704.9309197846,,0.859,S,2.007938849038764,60.68464878858043,1.93079,0.2317025630227918,8.2168e-06,1856-10-19,,8.7572e-08,
8.6189e-05,198.0,58200.0,3.529689128862081,Otto Matic,0.53212,,2633.4708423659354,,,,,24 Themis,,8.4334e-06,J2000,,,-31203449700.000008,0.067,683.9117912,N,N,9.7774e-09,,3392494188.4849033,2000024.0,0.00024123,3.1736e-06,2029.673818977927,a0000024,,60204.0,,131.6935421182968,5.55694406291014,7.3698e-10,20180323.0,JPL 108,8.6904e-09,0.00024088,,2.8979e-08,0.0,8.374,,0.19,2018-02-25,7.08,52830729020.127495,,C,2458200.5,3259.0,1.75736,,B,0.125083033404614,0.41005585,20190523.7763189,24.0,MBA,0.336,3.137269893921418,3.199,35.94412264982652,284.3033666880673,Themis,0.7517692700921543,2458627.276318939,,0.684,B,2.744850658980755,106.8971792317695,1.48693,0.1773684010868719,1.51e-05,1853-04-27,,9.1914e-08,
2.7734e-05,61.054,58200.0,3.010989928140781,Otto Matic,0.46772,,2650.7789179152305,,,,,25 Phocaea,,3.3349e-06,J2000,,2.463,-4390670000000000.5,0.35,359.78104911,N,N,4.928e-09,,3.8717234134846527e-41,2000025.0,1.1341e-05,3.3897e-06,1358.409004694083,a0000025,,57578.0,,1.1980000000000002e-51,3.71912116274903,6.5061e-10,20180323.0,JPL 91,3.9287e-09,8.572e-06,,2.9939e-08,0.0,9.9341,,,2017-11-01,7.83,5.990000000000001e-40,,S,2458200.5,2691.0,0.924483,,S,0.2543571783550693,0.03997127,20170713.6278264,25.0,MBA,0.513,2.400424679746572,3.389,214.1365772859296,66.88264150751242,Phocaea,21.60616638102486,2457948.12782644,,0.932,S,1.789859431352363,90.25688109137067,2.52492,0.2650159110812673,7.4451e-06,1860-03-11,,7.1349e-08,
0.00013237,94.8,58200.0,2.895264911532968,Otto Matic,0.53954,,2642.6524756734516,,,,,26 Proserpina,,8.3339e-06,J2000,,1.7,-5482840000000000.0,0.1966,545.9860515,N,N,1.018e-08,,4.819984559093032e-41,2000026.0,8.1907e-05,3.6035e-06,1580.16941113848,a0000026,,57103.0,,1.4960000000000004e-51,4.32626806608756,1.2016e-09,20180323.0,JPL 111,9.3352e-09,7.7016e-05,,3.6865e-08,0.0,13.11,,,2017-06-05,7.4,7.480000000000003e-40,,S,2458200.5,1991.0,1.40295,,S,0.09048113789950606,0.04991404,20180118.4000447,26.0,MBA,0.525,2.655034379695784,3.38,45.78119374551037,14.48957545350692,Proserpina,3.563607676807026,2458136.900044689,,0.891,S,2.4148038478586,193.5057662268679,2.10095,0.2278236735013288,3.0184e-05,1861-01-31,,9.8835e-08,
3.5598e-05,96.0,58200.0,2.752481762509628,Otto Matic,0.52397,,2650.968639285329,,,,,27 Euterpe,,2.6489e-06,J2000,,,-22708340000.0,0.215,371.81340717,N,N,3.7031e-09,,2.002580569552007e-46,2000027.0,0.00010131,3.09e-06,1312.572396019799,a0000027,,59711.0,,6.196000000000002e-57,3.59362736761067,5.535e-10,20180323.0,JPL 100,3.1564e-09,0.00010097,,3.0482e-08,0.0,10.4082,,,2017-05-05,7.0,3.098000000000001e-45,,S,2458200.5,2450.0,0.955401,,S,0.1732067605800567,0.20672954000000002,20190726.2398129,27.0,MBA,0.502,2.346118224846187,3.54,94.78812356450335,225.5416393268981,Euterpe,1.58371321186596,2458690.739812871,,0.878,S,1.939754687182746,356.5321566467676,2.43625,0.2742705858295146,9.6584e-06,1853-11-10,,7.1246e-08,
5.1182e-05,120.9,58200.0,3.196890252635852,Otto Matic,0.54473,,2640.6243036077926,,,,,28 Bellona,,5.474e-06,J2000,,3.4,-19241250000.0,0.1763,532.6453039,N,N,6.9099e-09,,1.6902070868990642e-46,2000028.0,1.9286e-05,3.7819e-06,1688.354017675394,a0000028,,58838.0,,5.250000000000001e-57,4.62246137625022,6.9132e-10,20180323.0,JPL 97,5.9978e-09,1.6755e-05,,3.2708e-08,0.0,15.706,,,2017-11-02,7.09,2.6250000000000006e-45,,S,2458200.5,2358.0,1.36867,,S,0.1520845032470945,0.17516625,20200606.3361187,28.0,MBA,0.469,2.774874797487139,3.299,144.3009524864558,188.0686398225887,Bellona,9.431074297377924,2459006.8361186665,,0.845,S,2.352859342338425,344.2000146330984,1.86012,0.2132254232413087,1.0688e-05,1856-09-29,,9.1127e-08,
0.00010005,189.559,58200.0,2.739981755850935,Otto Matic,0.53,,2644.837219894375,,,,,29 Amphitrite,,4.1289e-06,J2000,,1.129,-93395476923.07693,0.216,540.4831877,N,N,5.0543e-09,,8.21721805972632e-46,2000029.0,4.0192e-05,3.1386e-06,1492.219440485776,a0000029,,59120.0,,2.548307692307693e-56,4.08547416970781,6.6753e-10,20180323.0,JPL 141,4.7141e-09,3.1837e-05,,3.1128e-08,0.0,5.3921,,0.2,2017-06-05,5.85,1.2741538461538465e-44,,S,2458200.5,2259.0,1.38881,,S,0.07215644332813727,0.8502428615384616,20200305.0740048,29.0,MBA,0.449,2.555580179461137,3.426,356.3744414052941,187.9699119628193,Amphitrite,6.082326956909115,2458913.574004771,,0.838,S,2.371178603071338,63.03593329793588,2.4789,0.2412513804824885,2.4092e-05,1855-07-25,,7.9479e-08,
5.688e-05,92.787,58200.0,2.666336757306901,Otto Matic,0.46647,,2649.9927966243076,,,,,30 Urania,,3.1632e-06,J2000,,2.04,-16507160000.000002,0.192,416.4858423,N,N,4.2325e-09,,1.4551811959766178e-46,2000030.0,8.9923e-05,3.4268e-06,1328.499173534127,a0000030,,57476.0,,4.504000000000001e-57,3.63723250796476,6.4523e-10,20180323.0,JPL 103,3.7542e-09,8.8641e-05,,2.9532e-08,0.0,13.686,,,2017-07-04,7.57,2.2520000000000006e-45,,S,2458200.5,2994.0,1.07019,,Sl,0.1273871800091537,0.15027596000000001,20190109.7456681,30.0,MBA,0.459,2.365058610374877,3.537,307.4770468537725,280.6710529960785,Urania,2.095865887333517,2458493.2456681444,,0.873,Sl,2.063780463442854,87.47044888828091,2.7372,0.2709824794563578,1.5345e-05,1860-02-22,,6.913e-08,
5.8452e-05,267.08,58200.0,3.853128612566925,Otto Matic,0.51768,,2634.4600398045177,,,,,31 Euphrosyne,,7.2561e-06,J2000,,2.611,-120458646400.00002,0.053,610.2419102,N,N,9.1044e-09,,9206915903.96765,2000031.0,1.3349e-05,4.6058e-06,2047.276251598222,a0000031,,57466.0,,131.7430019902259,5.60513689691505,6.2324e-10,20180323.0,JPL 90,7.4557e-09,8.1399e-06,,3.1807e-08,0.0,5.53,,,2018-02-25,6.74,143323883195.26123,,C,2458200.5,1901.0,1.56806,,Cb,0.2211288473918236,1.110887675,20171217.2189012,31.0,MBA,0.317,3.155382514135768,3.011,31.11797797949419,16.84247328102203,Euphrosyne,26.30527488876767,2458104.7189012044,,0.687,Cb,2.457636415704611,61.42450927149677,1.95597,0.1758433917840659,1.0312e-05,1860-10-25,,1.0067e-07,
0.00014331,80.76,58200.0,2.795428944700198,Otto Matic,0.58966,,2644.136282939121,,,,,32 Pomona,,8.2663e-06,J2000,,1.6,-6.848111638758519e+17,0.2564,536.0077327,N,N,1.0134e-08,,6.023580062035645e-39,2000032.0,6.0848e-05,5.2397e-06,1520.134547739939,a0000032,,56267.0,,1.8685161360869085e-49,4.16190156807649,1.2878e-09,20180323.0,JPL 99,9.3798e-09,5.1888e-05,,4.8694e-08,0.0,9.448,,,2018-01-26,7.56,9.342580680434543e-38,,S,2458200.5,1902.0,1.37731,,S,0.08042026819992909,,20181212.776563,32.0,MBA,0.429,2.587353298506347,3.41,220.4414988287406,297.2953119038904,Pomona,5.524674836589198,2458465.2765630004,,0.857,S,2.379277652312495,339.4401569442777,2.1725,0.2368211422700906,3.383e-05,1864-01-07,,1.2694e-07,
